1d-interleaved-parityfec,text/1d-interleaved-parityfec,none,[RFC6015]
cache-manifest,text/cache-manifest,none,[W3C][Robin_Berjon]
calendar,text/calendar,".ics, .ifb, .iCal, .iFBf",[RFC5545]
cql,text/cql,none,[HL7][Bryn_Rhodes]
cql-expression,text/cql-expression,none,[HL7][Bryn_Rhodes]
cql-identifier,text/cql-identifier,none,[HL7][Bryn_Rhodes]
css,text/css,.css,[RFC2318]
csv,text/csv,.csv,[RFC4180][RFC7111]
csv-schema,text/csv-schema,none,[National_Archives_UK][David_Underdown]
directory - DEPRECATED by RFC6350,text/directory,none,[RFC2425][RFC6350]
dns,text/dns,".soa, .zone",[RFC4027]
ecmascript (OBSOLETED in favor of text/javascript),text/ecmascript,none,[RFC9239]
encaprtp,text/encaprtp,none,[RFC6849]
enriched,text/enriched,none,[RFC1896]
example,text/example,none,[RFC4735]
fhirpath,text/fhirpath,none,[HL7][Bryn_Rhodes]
flexfec,text/flexfec,none,[RFC8627]
fwdred,text/fwdred,none,[RFC6354]
gff3,text/gff3,none,[Sequence_Ontology]
grammar-ref-list,text/grammar-ref-list,none,[RFC6787]
hl7v2,text/hl7v2,none,[HL7][Marc_Duteau]
html,text/html,".html, .htm",[W3C][Robin_Berjon]
javascript,text/javascript,".js, .mjs., es, .mjs",[RFC9239]
jcr-cnd,text/jcr-cnd,none,[Peeter_Piegaze]
markdown,text/markdown,".md, .markdown",[RFC7763]
mizar,text/mizar,none,[Jesse_Alama]
n3,text/n3,none,[W3C][Eric_Prudhommeaux]
parameters,text/parameters,none,[RFC7826]
parityfec,text/parityfec,none,[RFC3009]
plain,text/plain,".txt, .ps",[RFC2046][RFC3676][RFC5147]
provenance-notation,text/provenance-notation,none,[W3C][Ivan_Herman]
prs.fallenstein.rst,text/prs.fallenstein.rst,none,[Benja_Fallenstein]
prs.lines.tag,text/prs.lines.tag,none,[John_Lines]
prs.prop.logic,text/prs.prop.logic,none,[Hans-Dieter_A._Hiep]
prs.texi,text/prs.texi,none,[Matin_Bavardi]
raptorfec,text/raptorfec,none,[RFC6682]
RED,text/RED,none,[RFC4102]
rfc822-headers,text/rfc822-headers,none,[RFC6522]
rtf,text/rtf,none,[Paul_Lindner]
rtp-enc-aescm128,text/rtp-enc-aescm128,none,[_3GPP]
rtploopback,text/rtploopback,none,[RFC6849]
rtx,text/rtx,none,[RFC4588]
SGML,text/SGML,none,[RFC1874]
shaclc,text/shaclc,none,[W3C_SHACL_Community_Group][Vladimir_Alexiev]
shex,text/shex,none,[W3C][Eric_Prudhommeaux]
spdx,text/spdx,none,[Linux_Foundation][Rose_Judge]
strings,text/strings,none,[IEEE-ISTO-PWG-PPP]
t140,text/t140,none,[RFC4103]
tab-separated-values,text/tab-separated-values,none,[Paul_Lindner]
troff,text/troff,none,[RFC4263]
turtle,text/turtle,none,[W3C][Eric_Prudhommeaux]
ulpfec,text/ulpfec,none,[RFC5109]
uri-list,text/uri-list,".uris,.uri",[RFC2483]
vcard,text/vcard,".ifb,.ics,.vcf .vcard",[RFC6350]
vnd.a,text/vnd.a,none,[Regis_Dehoux]
vnd.abc,text/vnd.abc,none,[Steve_Allen]
vnd.ascii-art,text/vnd.ascii-art,none,[Kim_Scarborough]
vnd.curl,text/vnd.curl,none,[Robert_Byrnes]
vnd.debian.copyright,text/vnd.debian.copyright,none,[Charles_Plessy]
vnd.DMClientScript,text/vnd.DMClientScript,none,[Dan_Bradley]
vnd.dvb.subtitle,text/vnd.dvb.subtitle,none,[Peter_Siebert][Michael_Lagally]
vnd.esmertec.theme-descriptor,text/vnd.esmertec.theme-descriptor,none,[Stefan_Eilemann]
vnd.exchangeable,text/vnd.exchangeable,none,[Martin_Cizek]
vnd.familysearch.gedcom,text/vnd.familysearch.gedcom,none,[Gordon_Clarke]
vnd.ficlab.flt,text/vnd.ficlab.flt,none,[Steve_Gilberd]
vnd.fly,text/vnd.fly,none,[John-Mark_Gurney]
vnd.fmi.flexstor,text/vnd.fmi.flexstor,none,[Kari_E._Hurtta]
vnd.gml,text/vnd.gml,none,[Mi_Tar]
vnd.graphviz,text/vnd.graphviz,none,[John_Ellson]
vnd.hans,text/vnd.hans,none,[Hill_Hanxv]
vnd.hgl,text/vnd.hgl,none,[Heungsub_Lee]
vnd.in3d.3dml,text/vnd.in3d.3dml,none,[Michael_Powers]
vnd.in3d.spot,text/vnd.in3d.spot,none,[Michael_Powers]
vnd.IPTC.NewsML,text/vnd.IPTC.NewsML,none,[IPTC]
vnd.IPTC.NITF,text/vnd.IPTC.NITF,none,[IPTC]
vnd.latex-z,text/vnd.latex-z,none,[Mikusiak_Lubos]
vnd.motorola.reflex,text/vnd.motorola.reflex,none,[Mark_Patton]
vnd.ms-mediapackage,text/vnd.ms-mediapackage,none,[Jan_Nelson]
vnd.net2phone.commcenter.command,text/vnd.net2phone.commcenter.command,none,[Feiyu_Xie]
vnd.radisys.msml-basic-layout,text/vnd.radisys.msml-basic-layout,none,[RFC5707]
vnd.senx.warpscript,text/vnd.senx.warpscript,none,[Pierre_Papin]
vnd.si.uricatalogue (OBSOLETED by request),text/vnd.si.uricatalogue,none,[Nicholas_Parks_Young]
vnd.sun.j2me.app-descriptor,text/vnd.sun.j2me.app-descriptor,none,[Gary_Adams]
vnd.sosi,text/vnd.sosi,none,[Petter_Reinholdtsen]
vnd.trolltech.linguist,text/vnd.trolltech.linguist,none,[David_Lee_Lambert]
vnd.wap.si,text/vnd.wap.si,none,[WAP-Forum]
vnd.wap.sl,text/vnd.wap.sl,none,[WAP-Forum]
vnd.wap.wml,text/vnd.wap.wml,none,[Peter_Stark]
vnd.wap.wmlscript,text/vnd.wap.wmlscript,none,[Peter_Stark]
vtt,text/vtt,none,[W3C][Silvia_Pfeiffer]
wgsl,text/wgsl,none,[W3C][David_Neto]
xml,text/xml," .xml, .ent, .dtd, .mod",[RFC7303]
xml-external-parsed-entity,text/xml-external-parsed-entity," .xml, .ent, .dtd, .mod",[RFC7303]